Label,howMany,howLongToSuccess,replyTime,timeZoneForChattings,mainSender,mainLeader,periodOfKnowing,lengthOfTimeTogether,meetingCycle,costProcessing,skinShip,partnerAlcoholPreference,drunkExperience,dateType,commonHobby,commonConcern,seriousConversation,group,ageDifference,distance,age,sex
1,7번~8번,1주~2주,30분이내,"점심 (12:00 ~17:00), 저녁 (17:00 ~ 21:00), 밤 (21:00 ~ 24:00), 새벽 (00:00 ~ 06:00 )",서로 번갈아 가면서 카톡을 보냄,서로 적극적이었음,3달 이상,4시간~8시간,1주에 네번이상,주로 더치페이 함,그.. 이상..*^^*,별로 좋아하지 않음,가끔 마심,"밥 + 카페, 술",네,네,네,학생회,나보다 1~4살 많음,30분 이내,21,남
1,1번~2번,1주일 이내,30분~1시간,"저녁 (17:00 ~ 21:00), 밤 (21:00 ~ 24:00)",서로 번갈아 가면서 카톡을 보냄,서로 적극적이었음,3달 이상,4시간~8시간,1주에 세번,항상 상대방이 냄,그.. 이상..*^^*,매우 좋아함 ( 주당 임 ),가끔 마심,"밥 + 카페, 문화 활동(영화, 연극, 전시), 축제 ( 벚꽃 축제, 음악 축제 등 ), 여행 ( 당일치기 포함 ), 이색데이트 ( 방탈출, 애견카페 , 레저활동 등), 술",네,네,네,대외활동,나보다 1~4살 많음,30분 이내,24,여
1,3번~4번,1주~2주,30분이내,저녁 (17:00 ~ 21:00),서로 번갈아 가면서 카톡을 보냄,서로 적극적이었음,2주 이상 한달 이내,8시간이상  ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°),1주에 네번이상,주로 더치페이 함,그.. 이상..*^^*,별로 좋아하지 않음,가끔 마심,"밥 + 카페, 문화 활동(영화, 연극, 전시), 술, 드라이브",네,네,네,학교,나보다 1~4살 많음,30분 이내,22,여
1,1번~2번,1주~2주,30분이내,밤 (21:00 ~ 24:00),서로 번갈아 가면서 카톡을 보냄,서로 적극적이지 않았음,2주 이상 한달 이내,2시간~4시간,1달에 한번 이하,주로 더치페이 함,그.. 이상..*^^*,별로 좋아하지 않음,별로 마시지 않음,술,네,네,네,속해있지않음,나보다 1~4살 많음,3시간이상,22,여
1,1번~2번,1주~2주,30분이내,밤 (21:00 ~ 24:00),서로 번갈아 가면서 카톡을 보냄,서로 적극적이지 않았음,2주 이상 한달 이내,2시간~4시간,1달에 한번 이하,주로 더치페이 함,그.. 이상..*^^*,별로 좋아하지 않음,별로 마시지 않음,술,네,네,네,속해있지않음,나보다 1~4살 많음,3시간이상,22,여
1,1번~2번,1주~2주,30분이내,밤 (21:00 ~ 24:00),서로 번갈아 가면서 카톡을 보냄,서로 적극적이지 않았음,2주 이상 한달 이내,2시간~4시간,1달에 한번 이하,주로 더치페이 함,그.. 이상..*^^*,별로 좋아하지 않음,별로 마시지 않음,술,네,네,네,속해있지않음,나보다 1~4살 많음,3시간이상,22,여
1,1번~2번,1주~2주,30분이내,밤 (21:00 ~ 24:00),서로 번갈아 가면서 카톡을 보냄,서로 적극적이지 않았음,2주 이상 한달 이내,2시간~4시간,1달에 한번 이하,주로 더치페이 함,그.. 이상..*^^*,별로 좋아하지 않음,별로 마시지 않음,술,네,네,네,속해있지않음,나보다 1~4살 많음,3시간이상,22,여
0,5번~6번,2주~3주,30분이내,"아침 (06:00 ~ 12:00), 밤 (21:00 ~ 24:00), 새벽 (00:00 ~ 06:00 )",내가 먼저 선톡함,상대방이 주로 주도함,1주일이내,1시간~2시간,1주에 두번,주로 상대방이 냄,그.. 이상..*^^*,적당히 즐김,가끔 마심,"밥 + 카페, 산책",네,네,네,학교,나보다 1~4살 많음,1시간 ~ 2시간,23,여
0,9번 이상,한달~두달,30분이내,"저녁 (17:00 ~ 21:00), 밤 (21:00 ~ 24:00)",상대방이 먼저 선톡함,상대방이 주로 주도함,3달 이상,2시간~4시간,1주에 네번이상,주로 더치페이 함,그.. 이상..*^^*,매우 좋아함 ( 주당 임 ),자주 마심,"밥 + 카페, 문화 활동(영화, 연극, 전시), 여행 ( 당일치기 포함 ), 술",네,네,네,학교,나보다 1~4살 많음,30분 이내,23,여
0,1번~2번,3주~4주,30분~1시간,"아침 (06:00 ~ 12:00), 점심 (12:00 ~17:00), 저녁 (17:00 ~ 21:00), 밤 (21:00 ~ 24:00)",내가 먼저 선톡함,서로 적극적이지 않았음,2주 이상 한달 이내,2시간~4시간,2주에 한번,주로 더치페이 함,그.. 이상..*^^*,매우 좋아함 ( 주당 임 ),자주 마심,술,네,네,네,학교,나보다 1~4살 많음,30분 ~ 1시간,21,여
